overall_pick,round,pick_in_round,pick_label,draft_slot,team_inferred,player
1,1,1,1.01,1,Travis Swift,Bijan Robinson
3,1,3,1.03,3,Manhattan Meatpacker,Lamar Jackson
4,1,4,1.04,4,Scared Hitless,Jayden Daniels
5,1,5,1.05,5,Mountain Hermits,Jalen Hurts
6,1,6,1.06,6,Hulleywood,Ja'Marr Chase
7,1,7,1.07,7,It's Gonna Be Maye,Saquon Barkley
8,1,8,1.08,8,Randiculous,Jahmyr Gibbs
9,1,9,1.09,9,Made America 2024,CeeDee Lamb
10,1,10,1.10,10,NY Kat Snatchers,Justin Jefferson
11,1,11,1.11,11,Jersey Rum Hams,Joe Burrow
12,1,12,1.12,12,East Coast Wins Most,Mike Evans
13,2,1,2.01,12,East Coast Wins Most,Christian McCaffrey
14,2,2,2.02,11,Jersey Rum Hams,Derrick Henry
15,2,3,2.03,10,NY Kat Snatchers,Amon-Ra St. Brown
16,2,4,2.04,9,Made America 2024,Drake London
17,2,5,2.05,8,Randiculous,Ashton Jeanty
18,2,6,2.06,7,It's Gonna Be Maye,Trey McBride
19,2,7,2.07,6,Hulleywood,Jonathan Taylor
20,2,8,2.08,5,Mountain Hermits,Patrick Mahomes
21,2,9,2.09,4,Scared Hitless,Bo Nix
22,2,10,2.10,3,Manhattan Meatpacker,A.J. Brown
23,2,11,2.11,2,Down to Pound,Caleb Williams
24,2,12,2.12,1,Travis Swift,Josh Jacobs
25,3,1,3.01,1,Travis Swift,Kyler Murray
26,3,2,3.02,2,Down to Pound,Garrett Wilson
27,3,3,3.03,3,Manhattan Meatpacker,Tee Higgins
28,3,4,3.04,4,Scared Hitless,James Cook
30,3,6,3.06,6,Hulleywood,Tyreek Hill
31,3,7,3.07,7,It's Gonna Be Maye,Terry McLaurin
32,3,8,3.08,8,Randiculous,George Kittle
33,3,9,3.09,9,Made America 2024,Omarion Hampton
34,3,10,3.10,10,NY Kat Snatchers,Kenneth Walker
36,3,12,3.12,12,East Coast Wins Most,Baker Mayfield
37,4,1,4.01,12,East Coast Wins Most,Tony Pollard
38,4,2,4.02,11,Jersey Rum Hams,Justin Herbert
39,4,3,4.03,10,NY Kat Snatchers,Chuba Hubbard
40,4,4,4.04,9,Made America 2024,Alvin Kamara
41,4,5,4.05,8,Randiculous,Davante Adams
42,4,6,4.06,7,It's Gonna Be Maye,Tetairoa McMillan
43,4,7,4.07,6,Hulleywood,James Conner
44,4,8,4.08,5,Mountain Hermits,Sam LaPorta
45,4,9,4.09,4,Scared Hitless,TreVeyon Henderson
46,4,10,4.10,3,Manhattan Meatpacker,RJ Harvey
47,4,11,4.11,2,Down to Pound,DeVonta Smith
48,4,12,4.12,1,Travis Swift,Xavier Worthy
49,5,1,5.01,1,Travis Swift,Calvin Ridley
51,5,3,5.03,3,Manhattan Meatpacker,Breece Hall
52,5,4,5.04,4,Scared Hitless,DK Metcalf
53,5,5,5.05,5,Mountain Hermits,D'Andre Swift
54,5,6,5.06,6,Hulleywood,George Pickens
55,5,7,5.07,7,It's Gonna Be Maye,Isiah Pacheco
56,5,8,5.08,8,Randiculous,Jaxon Smith-Njigba
57,5,9,5.09,9,Made America 2024,Chase Brown
58,5,10,5.10,10,NY Kat Snatchers,Justin Fields
59,5,11,5.11,11,Jersey Rum Hams,Emeka Egbuka
60,5,12,5.12,12,East Coast Wins Most,Kyren Williams
61,6,1,6.01,12,East Coast Wins Most,Brian Thomas
62,6,2,6.02,11,Jersey Rum Hams,Rome Odunze
63,6,3,6.03,10,NY Kat Snatchers,Zay Flowers
64,6,4,6.04,9,Made America 2024,Jared Goff
65,6,5,6.05,8,Randiculous,Jaylen Waddle
66,6,6,6.06,7,It's Gonna Be Maye,Ricky Pearsall
67,6,7,6.07,6,Hulleywood,Mark Andrews
68,6,8,6.08,5,Mountain Hermits,David Montgomery
69,6,9,6.09,4,Scared Hitless,Courtland Sutton
70,6,10,6.10,3,Manhattan Meatpacker,Travis Hunter
71,6,11,6.11,2,Down to Pound,Trevor Lawrence
72,6,12,6.12,1,Travis Swift,Aaron Jones
73,7,1,7.01,1,Travis Swift,Matthew Golden
74,7,2,7.02,2,Down to Pound,Chris Olave
75,7,3,7.03,3,Manhattan Meatpacker,T.J. Hockenson
76,7,4,7.04,4,Scared Hitless,Ladd McConkey
77,7,5,7.05,5,Mountain Hermits,Stefon Diggs
78,7,6,7.06,6,Hulleywood,Jaylen Warren
79,7,7,7.07,7,It's Gonna Be Maye,Zach Charbonnet
80,7,8,7.08,8,Randiculous,Jordan Mason
81,7,9,7.09,9,Made America 2024,Marvin Harrison
82,7,10,7.10,10,NY Kat Snatchers,C.J. Stroud
83,7,11,7.11,11,Jersey Rum Hams,Jacory Croskey-Merritt
84,7,12,7.12,12,East Coast Wins Most,Josh Allen
85,8,1,8.01,12,East Coast Wins Most,Tyler Warren
87,8,3,8.03,10,NY Kat Snatchers,Brock Bowers
88,8,4,8.04,9,Made America 2024,Brenton Strange
89,8,5,8.05,8,Randiculous,Bryce Young
90,8,6,8.06,7,It's Gonna Be Maye,Jerry Jeudy
91,8,7,8.07,6,Hulleywood,Travis Etienne
92,8,8,8.08,5,Mountain Hermits,Jordan Addison
93,8,9,8.09,4,Scared Hitless,Evan Engram
94,8,10,8.10,3,Manhattan Meatpacker,Braelon Allen
95,8,11,8.11,2,Down to Pound,Rhamondre Stevenson
96,8,12,8.12,1,Travis Swift,Travis Kelce
97,9,1,9.01,1,Travis Swift,Matthew Stafford
98,9,2,9.02,2,Down to Pound,Deebo Samuel
99,9,3,9.03,3,Manhattan Meatpacker,Denver Broncos
100,9,4,9.04,4,Scared Hitless,Jakobi Meyers
101,9,5,9.05,5,Mountain Hermits,Rachaad White
102,9,6,9.06,6,Hulleywood,Michael Pittman
104,9,8,9.08,8,Randiculous,Jauan Jennings
105,9,9,9.09,9,Made America 2024,Kirk Cousins
107,9,11,9.11,11,Jersey Rum Hams,De'Von Achane
108,9,12,9.12,12,East Coast Wins Most,Puka Nacua
109,10,1,10.01,12,East Coast Wins Most,Hunter Henry
110,10,2,10.02,11,Jersey Rum Hams,David Njoku
111,10,3,10.03,10,NY Kat Snatchers,Keon Coleman
112,10,4,10.04,9,Made America 2024,Theo Johnson
113,10,5,10.05,8,Randiculous,Jameson Williams
114,10,6,10.06,7,It's Gonna Be Maye,Drake Maye
115,10,7,10.07,6,Hulleywood,Brock Purdy
116,10,8,10.08,5,Mountain Hermits,Javonte Williams
117,10,9,10.09,4,Scared Hitless,Khalil Shakir
118,10,10,10.10,3,Manhattan Meatpacker,Tyrone Tracy
119,10,11,10.11,2,Down to Pound,Rashid Shaheed
120,10,12,10.12,1,Travis Swift,Jordan Love
121,11,1,11.01,1,Travis Swift,Tucker Kraft
122,11,2,11.02,2,Down to Pound,Dalton Kincaid
123,11,3,11.03,3,Manhattan Meatpacker,Michael Penix
124,11,4,11.04,4,Scared Hitless,Austin Ekeler
125,11,5,11.05,5,Mountain Hermits,Michael Wilson
126,11,6,11.06,6,Hulleywood,Wan'Dale Robinson
127,11,7,11.07,7,It's Gonna Be Maye,Colston Loveland
128,11,8,11.08,8,Randiculous,Bhayshul Tuten
129,11,9,11.09,9,Made America 2024,Cam Skattebo
130,11,10,11.10,10,NY Kat Snatchers,Cooper Kupp
131,11,11,11.11,11,Jersey Rum Hams,Keenan Allen
132,11,12,11.12,12,East Coast Wins Most,Blake Corum
133,12,1,12.01,12,East Coast Wins Most,Sam Darnold
135,12,3,12.03,10,NY Kat Snatchers,Jayden Higgins
136,12,4,12.04,9,Made America 2024,Kimani Vidal
137,12,5,12.05,8,Randiculous,Jake Ferguson
138,12,6,12.06,7,It's Gonna Be Maye,Dylan Sampson
139,12,7,12.07,6,Hulleywood,Josh Downs
140,12,8,12.08,5,Mountain Hermits,Najee Harris
141,12,9,12.09,4,Scared Hitless,Geno Smith
142,12,10,12.10,3,Manhattan Meatpacker,Jaydon Blue
143,12,11,12.11,2,Down to Pound,Jerome Ford
144,12,12,12.12,1,Travis Swift,Brandon Aubrey
145,13,1,13.01,1,Travis Swift,Jayden Reed
146,13,2,13.02,2,Down to Pound,Rashod Bateman
147,13,3,13.03,3,Manhattan Meatpacker,Nick Chubb
148,13,4,13.04,4,Scared Hitless,Baltimore Ravens
149,13,5,13.05,5,Mountain Hermits,Christian Kirk
150,13,6,13.06,6,Hulleywood,Tua Tagovailoa
151,13,7,13.07,7,It's Gonna Be Maye,Ray Davis
153,13,9,13.09,9,Made America 2024,Kansas City Chiefs
155,13,11,13.11,11,Jersey Rum Hams,Ollie Gordon
156,13,12,13.12,12,East Coast Wins Most,Emanuel Wilson
157,14,1,14.01,12,East Coast Wins Most,New England Patriots
158,14,2,14.02,11,Jersey Rum Hams,Jaxson Dart
159,14,3,14.03,10,NY Kat Snatchers,Brandon Aiyuk
160,14,4,14.04,9,Made America 2024,Philadelphia Eagles
161,14,5,14.05,8,Randiculous,Cedric Tillman
162,14,6,14.06,7,It's Gonna Be Maye,J.J. McCarthy
164,14,8,14.08,5,Mountain Hermits,Aaron Rodgers
165,14,9,14.09,4,Scared Hitless,DeMario Douglas
166,14,10,14.10,3,Manhattan Meatpacker,Chig Okonkwo
167,14,11,14.11,2,Down to Pound,Luther Burden
168,14,12,14.12,1,Travis Swift,Tank Dell
169,15,1,15.01,1,Travis Swift,Tyler Allgeier
170,15,2,15.02,2,Down to Pound,Dallas Cowboys
171,15,3,15.03,3,Manhattan Meatpacker,Zach Ertz
172,15,4,15.04,4,Scared Hitless,Joe Mixon
173,15,5,15.05,5,Mountain Hermits,Cameron Dicker
174,15,6,15.06,6,Hulleywood,Harrison Butker
175,15,7,15.07,7,It's Gonna Be Maye,Buffalo Bills
176,15,8,15.08,8,Randiculous,Pittsburgh Steelers
177,15,9,15.09,9,Made America 2024,Rico Dowdle
178,15,10,15.10,10,NY Kat Snatchers,Minnesota Vikings
179,15,11,15.11,11,Jersey Rum Hams,Jalen Coker
180,15,12,15.12,12,East Coast Wins Most,Brian Robinson
181,16,1,16.01,12,East Coast Wins Most,Rashee Rice
182,16,2,16.02,11,Jersey Rum Hams,Isaac TeSlaa
183,16,3,16.03,10,NY Kat Snatchers,Xavier Legette
184,16,4,16.04,9,Made America 2024,Audric Estime
185,16,5,16.05,8,Randiculous,Jake Bates
186,16,6,16.06,7,It's Gonna Be Maye,Tyjae Spears
188,16,8,16.08,5,Mountain Hermits,Romeo Doubs
189,16,9,16.09,4,Scared Hitless,Jake Elliott
190,16,10,16.10,3,Manhattan Meatpacker,Ka'imi Fairbairn
191,16,11,16.11,2,Down to Pound,Evan McPherson
192,16,12,16.12,1,Travis Swift,Green Bay Packers
